Substance 1,Substance 2,Result,Reason
ALUMINUM OXIDE,ACETYLENE,Caution,"E
-----


*****


Non-Redox-Active Inorganic Compounds WITH Alkynes, with Acetylenic Hydrogen:

   In most cases, no evidence was found for a hazardous reaction between non-redox-active inorganic compounds and alkynes with an attached hydrogen atom. However, in some cases, a hazardous product can be formed:

   The explosive compound copper acetylide (Cu2C2) can be formed when copper salts or copper oxides come into contact with acetylene (Pässler, P., et al. 2011. Acetylene. Ullmann's Encyclopedia of Industrial Chemistry. (Online))."
"ALUMINUM POWDER, UNCOATED",ACETYLENE,Incompatible,"C
E
F
R1
R3
-----


*****


Metals, Elemental and Powder, Active WITH Alkynes, with Acetylenic Hydrogen:

   Acetylenic compounds with replaceable acetylenically bound hydrogen atoms must be kept out of contact with copper, silver, magnesium, mercury, or alloys containing them, to avoid formation of explosive metal acetylides (“Chemical Intermediates”, 1972 Catalogue, 158, Tamaqua (Pa.), Air Products and Chemicals Inc., 1972; Dangerous Substances: Guidance on Fires and Spillages, London, HMSO, 1972, Sect. 1, p. 27).

   Powdered cobalt incandescently decomposes acetylene on contact, posing a fire hazard (J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 14, pp. 513. Longmans, Green and Co Ltd.)."
"ALUMINUM POWDER, UNCOATED",ALUMINUM OXIDE,Incompatible,"F
R1
R3
-----


*****


Metals, Elemental and Powder, Active WITH Non-Redox-Active Inorganic Compounds:

   Mixtures of powdered electropositive metals (such as aluminum, magnesium, titanium, zinc, or zirconium) with certain metal oxides (such as those of iron, barium, chromium, cobalt, copper, manganese, molybdenum, lead, vanadium, nickel, or silicon) react explosively and at extremely high temperatures once ignited. These mixtures are called thermites (P. J. Roebuck, Educ. Chem., 1979, 16, 178-9; G. V. Ivanov, et al., Chem. Abs., 1979, 91, 76323; M. B. Ismailov, et al., Fizika Goreniya i Vzryva, 1992, 28(1), 46; J. W. Mellor, 1961. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 7, pp. 20. Longmans, Green and Co Ltd.; J. W. Mellor, 1940. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 4, pp. 272. Longmans, Green and Co Ltd.; J. R. Partington, 1967, General and Inorganic Chemistry, London, MacMillan, 4th ed., p. 364; Pascal, P. 1958. Nouveau Traité de Chimie Minérale. Vol. 4, p. 775. Masson et Cie.).

   Neutral solutions of salts of heavy metals such as nickel, iron, and copper are corrosive to magnesium alloys. The metals in the salts are reduced, and the resulting powders can be pyrophoric (Aune, T. K., et al. 2003. Magnesium Alloys. Ullmann's Encyclopedia of Industrial Chemistry. (Online)).

   Zinc can ignite on contact with ammonium chloride, if water is present (G. Sorbe, 1968, Giftige und Explosive Substanzen, Frankfurt, Umschau Verlag, pp. 158; Hanson, R.M. 1976. Journal of Chemical Education 53:578).

   Aluminum can react violently with AgCl if the silver chloride is in excess (Anon. 1954. Chemical and Engineering News 32:258; J. W. Mellor, 1946. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 3, pp. 402. Longmans, Green and Co Ltd.)."
"AMMONIA, ANHYDROUS",ACETYLENE,Caution,"E
-----


*****


Bases, Weak WITH Alkynes, with Acetylenic Hydrogen:

   When acetylene comes into contact with ammoniacal or alkaline solutions of copper (II) salts, explosive copper acetylides can be formed. Silver and mercury salts will also give explosive acetylides in contact with acetylene (Bretherick, L. 1996. Bretherick’s Handbook of Reactive Chemical Hazards. Vol. 2, p 191-192. Fifth Ed. Urben, P.G., Ed. Butterworth-Heinemann, Boston, MA).

   Mixtures of acetylenic compounds with other weak bases in the presence of metal salts may also result in the formation of explosive metal acetylides. Caution should be used before proceeding. Further research of comparable examples in the literature or very small scale, carefully controlled experiments may be needed to fully assess compatibility."
"AMMONIA, ANHYDROUS",ALUMINUM OXIDE,Compatible,"NR
-----


*****


Non-Redox-Active Inorganic Compounds WITH Bases, Weak:

   Iron (III) oxides do not react with weak bases (Swiler, D. R. 2005. Pigments, Inorganic. Kirk-Othmer Encyclopedia of Chemical Technology. (Online))."
"AMMONIA, ANHYDROUS","ALUMINUM POWDER, UNCOATED",Incompatible,"C
E
F
G
R1
-----

H2
*****


Metals, Elemental and Powder, Active WITH Bases, Weak:

   Solutions of calcium or magnesium metal in liquid ammonia act as powerful reducing agents (“solvated electrons”) that slowly decompose to form hydrogen gas and strongly basic and explosive metal amide salts, which precipitate out of solution (E. M. Kaiser, Synthesis, 1972, (8), p. 391-415; W.C. Fernelius and G.W. Watt, Chem. Rev. 1937, 20, 195-258; Eggeman, T. 2001. Ammonia. In Kirk-Othmer Encyclopedia of Chemical Technology. John Wiley & Sons, Inc. (Online)).

   Heated uranium incandesces in ammonia (J. W. Mellor, 1942. Mellor’s Comprehensive Treatise on Inorganic and Theoretical Chemistry. Vol. 12, pp. 31. Longmans, Green and Co Ltd.)."
ARGON,ACETYLENE,Compatible,"NR
-----


*****


Alkynes, with Acetylenic Hydrogen WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups."
ARGON,ALUMINUM OXIDE,Compatible,"NR
-----


*****


Non-Redox-Active Inorganic Compounds WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups."
ARGON,"ALUMINUM POWDER, UNCOATED",Caution,"F
R1
-----


*****


Metals, Elemental and Powder, Active WITH Not Chemically Reactive:

   Magnesium can react with nitrogen to form the unstable compound magnesium nitride (Mg3N2). If sufficient nitrogen is present this reaction can be self-sustaining. The nitride produced can react with water to form ammonia (Kramer, D. A. 2010. Magnesium and Magnesium Alloys. Kirk-Othmer Encyclopedia of Chemical Technology. 1–55. (Online)).

   Nitrogen, carbon dioxide, and halons (chlorofluorocarbon refrigerants) will react with molten magnesium (Amundsen, K., et al. 2003. Magnesium. Ullmann's Encyclopedia of Industrial Chemistry. (Online)).

   Many powdered metals, including magnesium, zirconium, titanium, magnesium-aluminum alloy, aluminum, chromium, and manganese, are ignitable and explosive when suspended in a carbon dioxide atmosphere (Hartmann, I., Ind. Eng. Chem., 1948, 40, p. 756; Rhein, R. A., Report No. CR-60125, Washington, NASA, 1964; Guntz, A. et al, Compt. Rendus, 1897, 124, 187-190).

   Magnesium and aluminum form flammable mixtures with finely divided polytetrafluoroethylene (Teflon) (Anon. 1969. Indust. Res. (9):15; Pittaluga, F. et al., Termotechnica, 1981, 25, p. 332-334).

   Powdered beryllium, cerium, cerium alloys, thorium, titanium, uranium, and zirconium ignite when heated in mixtures of carbon dioxide and nitrogen (Rhein, R. A., Rept. No. CR-60125, Washington, NASA, 1964)."
ARGON,"AMMONIA, ANHYDROUS",Compatible,"NR
-----


*****


Bases, Weak WITH Not Chemically Reactive:

   No evidence was found for a hazardous reaction between these reactive groups."
