Substance 1,Substance 2,Result
1-BUTENE,1-BUTENE,X
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,1-BUTENE,Y
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,X
"2,4-D SODIUM SALT",1-BUTENE,C
"2,4-D SODIUM SALT",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
"2,4-D SODIUM SALT","2,4-D SODIUM SALT",X
"2,4-DICHLOROPHENOXYACETIC ACID",1-BUTENE,Y
"2,4-DICHLOROPHENOXYACETIC ACID",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
"2,4-DICHLOROPHENOXYACETIC ACID","2,4-D SODIUM SALT",N
"2,4-DICHLOROPHENOXYACETIC ACID","2,4-DICHLOROPHENOXYACETIC ACID",X
"2,4,5-TRICHLOROPHENOXYACETIC ACID",1-BUTENE,C
"2,4,5-TRICHLOROPHENOXYACETIC ACID",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
"2,4,5-TRICHLOROPHENOXYACETIC ACID","2,4-D SODIUM SALT",N
"2,4,5-TRICHLOROPHENOXYACETIC ACID","2,4-DICHLOROPHENOXYACETIC ACID",Y
"2,4,5-TRICHLOROPHENOXYACETIC ACID","2,4,5-TRICHLOROPHENOXYACETIC ACID",X
ALUMINUM FERROSILICON POWDER,1-BUTENE,N
ALUMINUM FERROSILICON POWDER,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
ALUMINUM FERROSILICON POWDER,"2,4-D SODIUM SALT",N
ALUMINUM FERROSILICON POWDER,"2,4-DICHLOROPHENOXYACETIC ACID",N
ALUMINUM FERROSILICON POWDER,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
ALUMINUM FERROSILICON POWDER,ALUMINUM FERROSILICON POWDER,X
"ALUMINUM POWDER, UNCOATED",1-BUTENE,N
"ALUMINUM POWDER, UNCOATED",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
"ALUMINUM POWDER, UNCOATED","2,4-D SODIUM SALT",N
"ALUMINUM POWDER, UNCOATED","2,4-DICHLOROPHENOXYACETIC ACID",N
"ALUMINUM POWDER, UNCOATED","2,4,5-TRICHLOROPHENOXYACETIC ACID",N
"ALUMINUM POWDER, UNCOATED",ALUMINUM FERROSILICON POWDER,Y
"ALUMINUM POWDER, UNCOATED","ALUMINUM POWDER, UNCOATED",X
"ALUMINUM SULFATE, SOLID",1-BUTENE,Y
"ALUMINUM SULFATE, SOLID",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
"ALUMINUM SULFATE, SOLID","2,4-D SODIUM SALT",N
"ALUMINUM SULFATE, SOLID","2,4-DICHLOROPHENOXYACETIC ACID",N
"ALUMINUM SULFATE, SOLID","2,4,5-TRICHLOROPHENOXYACETIC ACID",N
"ALUMINUM SULFATE, SOLID",ALUMINUM FERROSILICON POWDER,N
"ALUMINUM SULFATE, SOLID","ALUMINUM POWDER, UNCOATED",N
"ALUMINUM SULFATE, SOLID","ALUMINUM SULFATE, SOLID",X
AMMONIUM LAURYL SULFATE,1-BUTENE,Y
AMMONIUM LAURYL SULFATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
AMMONIUM LAURYL SULFATE,"2,4-D SODIUM SALT",N
AMMONIUM LAURYL SULFATE,"2,4-DICHLOROPHENOXYACETIC ACID",N
AMMONIUM LAURYL SULFATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
AMMONIUM LAURYL SULFATE,ALUMINUM FERROSILICON POWDER,N
AMMONIUM LAURYL SULFATE,"ALUMINUM POWDER, UNCOATED",N
AMMONIUM LAURYL SULFATE,"ALUMINUM SULFATE, SOLID",Y
AMMONIUM LAURYL SULFATE,AMMONIUM LAURYL SULFATE,X
"ASBESTOS, WHITE",1-BUTENE,Y
"ASBESTOS, WHITE",2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
"ASBESTOS, WHITE","2,4-D SODIUM SALT",Y
"ASBESTOS, WHITE","2,4-DICHLOROPHENOXYACETIC ACID",Y
"ASBESTOS, WHITE","2,4,5-TRICHLOROPHENOXYACETIC ACID",Y
"ASBESTOS, WHITE",ALUMINUM FERROSILICON POWDER,C
"ASBESTOS, WHITE","ALUMINUM POWDER, UNCOATED",C
"ASBESTOS, WHITE","ALUMINUM SULFATE, SOLID",Y
"ASBESTOS, WHITE",AMMONIUM LAURYL SULFATE,Y
"ASBESTOS, WHITE","ASBESTOS, WHITE",X
BARIUM SULFATE,1-BUTENE,Y
BARIUM SULFATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
BARIUM SULFATE,"2,4-D SODIUM SALT",Y
BARIUM SULFATE,"2,4-DICHLOROPHENOXYACETIC ACID",C
BARIUM SULFATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",C
BARIUM SULFATE,ALUMINUM FERROSILICON POWDER,N
BARIUM SULFATE,"ALUMINUM POWDER, UNCOATED",N
BARIUM SULFATE,"ALUMINUM SULFATE, SOLID",N
BARIUM SULFATE,AMMONIUM LAURYL SULFATE,N
BARIUM SULFATE,"ASBESTOS, WHITE",Y
BARIUM SULFATE,BARIUM SULFATE,X
BENZALDEHYDE,1-BUTENE,C
BENZALDEHYDE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
BENZALDEHYDE,"2,4-D SODIUM SALT",N
BENZALDEHYDE,"2,4-DICHLOROPHENOXYACETIC ACID",N
BENZALDEHYDE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
BENZALDEHYDE,ALUMINUM FERROSILICON POWDER,N
BENZALDEHYDE,"ALUMINUM POWDER, UNCOATED",N
BENZALDEHYDE,"ALUMINUM SULFATE, SOLID",N
BENZALDEHYDE,AMMONIUM LAURYL SULFATE,N
BENZALDEHYDE,"ASBESTOS, WHITE",Y
BENZALDEHYDE,BARIUM SULFATE,N
BENZALDEHYDE,BENZALDEHYDE,X
BENZENE,1-BUTENE,Y
BENZENE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
BENZENE,"2,4-D SODIUM SALT",Y
BENZENE,"2,4-DICHLOROPHENOXYACETIC ACID",Y
BENZENE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",Y
BENZENE,ALUMINUM FERROSILICON POWDER,Y
BENZENE,"ALUMINUM POWDER, UNCOATED",Y
BENZENE,"ALUMINUM SULFATE, SOLID",Y
BENZENE,AMMONIUM LAURYL SULFATE,Y
BENZENE,"ASBESTOS, WHITE",Y
BENZENE,BARIUM SULFATE,Y
BENZENE,BENZALDEHYDE,Y
BENZENE,BENZENE,X
CADMIUM SULFATE,1-BUTENE,Y
CADMIUM SULFATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,Y
CADMIUM SULFATE,"2,4-D SODIUM SALT",N
CADMIUM SULFATE,"2,4-DICHLOROPHENOXYACETIC ACID",N
CADMIUM SULFATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
CADMIUM SULFATE,ALUMINUM FERROSILICON POWDER,N
CADMIUM SULFATE,"ALUMINUM POWDER, UNCOATED",N
CADMIUM SULFATE,"ALUMINUM SULFATE, SOLID",Y
CADMIUM SULFATE,AMMONIUM LAURYL SULFATE,Y
CADMIUM SULFATE,"ASBESTOS, WHITE",Y
CADMIUM SULFATE,BARIUM SULFATE,N
CADMIUM SULFATE,BENZALDEHYDE,N
CADMIUM SULFATE,BENZENE,Y
CADMIUM SULFATE,CADMIUM SULFATE,X
CALCIUM CHROMATE,1-BUTENE,N
CALCIUM CHROMATE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
CALCIUM CHROMATE,"2,4-D SODIUM SALT",N
CALCIUM CHROMATE,"2,4-DICHLOROPHENOXYACETIC ACID",N
CALCIUM CHROMATE,"2,4,5-TRICHLOROPHENOXYACETIC ACID",N
CALCIUM CHROMATE,ALUMINUM FERROSILICON POWDER,N
CALCIUM CHROMATE,"ALUMINUM POWDER, UNCOATED",N
CALCIUM CHROMATE,"ALUMINUM SULFATE, SOLID",N
CALCIUM CHROMATE,AMMONIUM LAURYL SULFATE,N
CALCIUM CHROMATE,"ASBESTOS, WHITE",Y
CALCIUM CHROMATE,BARIUM SULFATE,N
CALCIUM CHROMATE,BENZALDEHYDE,N
CALCIUM CHROMATE,BENZENE,N
CALCIUM CHROMATE,CADMIUM SULFATE,N
CALCIUM CHROMATE,CALCIUM CHROMATE,X
CELLULOSE,1-BUTENE,C
CELLULOSE,2-CHLORO-P-PHENYLENEDIAMINE SULFATE,N
CELLULOSE,"2,4-D SODIUM SALT",Y
CELLULOSE,"2,4-DICHLOROPHENOXYACETIC ACID",N
